Neighborhood,Town,topic,displayTopic,indicator,value,type
West Hartford,,age,Age,Population ages 65+,11177.0,table
Connecticut,,age,Age,Population ages 65+,542278.0,table
Asylum Hill,Hartford,age,Age,Percent ages 65+,0.097,map
Barry Square,Hartford,age,Age,Percent ages 65+,0.071,map
Behind the Rocks,Hartford,age,Age,Percent ages 65+,0.082,map
Bishops Corner West,Hartford,age,Age,Percent ages 65+,0.217,map
Blue Hills,Hartford,age,Age,Percent ages 65+,0.111,map
Clay Arsenal,Hartford,age,Age,Percent ages 65+,0.072,map
Downtown,Hartford,age,Age,Percent ages 65+,0.112,map
Frog Hollow,Hartford,age,Age,Percent ages 65+,0.07,map
Northeast,Hartford,age,Age,Percent ages 65+,0.105,map
Parkville,Hartford,age,Age,Percent ages 65+,0.112,map
Sheldon Charter Oak,Hartford,age,Age,Percent ages 65+,0.136,map
South End & South Meadows,Hartford,age,Age,Percent ages 65+,0.078,map
South Green,Hartford,age,Age,Percent ages 65+,0.127,map
Southwest,Hartford,age,Age,Percent ages 65+,0.132,map
Upper Albany,Hartford,age,Age,Percent ages 65+,0.116,map
West End,Hartford,age,Age,Percent ages 65+,0.127,map
Buena Vista,West Hartford,age,Age,Percent ages 65+,0.226,map
Corbins Corner,West Hartford,age,Age,Percent ages 65+,0.192,map
Elizabeth Park,West Hartford,age,Age,Percent ages 65+,0.164,map
Farmington East,West Hartford,age,Age,Percent ages 65+,0.198,map
Golf Acres,West Hartford,age,Age,Percent ages 65+,0.249,map
Kennedy Park,West Hartford,age,Age,Percent ages 65+,0.095,map
Mountain West,West Hartford,age,Age,Percent ages 65+,0.17,map
New Park,West Hartford,age,Age,Percent ages 65+,0.104,map
Rockledge,West Hartford,age,Age,Percent ages 65+,0.146,map
West Hartford Center,West Hartford,age,Age,Percent ages 65+,0.131,map
Hartford,,age,Age,Percent ages 65+,0.096,table
West Hartford,,age,Age,Percent ages 65+,0.177,table
Connecticut,,age,Age,Percent ages 65+,0.151,table
Asylum Hill,Hartford,race,Race and ethnicity,Total population,9859.0,table
Barry Square,Hartford,race,Race and ethnicity,Total population,15485.0,table
Behind the Rocks,Hartford,race,Race and ethnicity,Total population,8484.0,table
Bishops Corner West,Hartford,race,Race and ethnicity,Total population,8010.0,table
Blue Hills,Hartford,race,Race and ethnicity,Total population,12067.0,table
Clay Arsenal,Hartford,race,Race and ethnicity,Total population,6608.0,table
Downtown,Hartford,race,Race and ethnicity,Total population,2001.0,table
Frog Hollow,Hartford,race,Race and ethnicity,Total population,9421.0,table
Northeast,Hartford,race,Race and ethnicity,Total population,10946.0,table
Parkville,Hartford,race,Race and ethnicity,Total population,4455.0,table
Sheldon Charter Oak,Hartford,race,Race and ethnicity,Total population,3286.0,table
South End & South Meadows,Hartford,race,Race and ethnicity,Total population,14590.0,table
South Green,Hartford,race,Race and ethnicity,Total population,2132.0,table
Southwest,Hartford,race,Race and ethnicity,Total population,7423.0,table
Upper Albany,Hartford,race,Race and ethnicity,Total population,6909.0,table
West End,Hartford,race,Race and ethnicity,Total population,10046.0,table
Buena Vista,West Hartford,race,Race and ethnicity,Total population,2698.0,table
Corbins Corner,West Hartford,race,Race and ethnicity,Total population,4383.0,table
Elizabeth Park,West Hartford,race,Race and ethnicity,Total population,4393.0,table
Farmington East,West Hartford,race,Race and ethnicity,Total population,10565.0,table
Golf Acres,West Hartford,race,Race and ethnicity,Total population,7192.0,table
Kennedy Park,West Hartford,race,Race and ethnicity,Total population,3990.0,table
Mountain West,West Hartford,race,Race and ethnicity,Total population,4452.0,table
New Park,West Hartford,race,Race and ethnicity,Total population,6142.0,table
Rockledge,West Hartford,race,Race and ethnicity,Total population,6541.0,table
West Hartford Center,West Hartford,race,Race and ethnicity,Total population,4922.0,table
Hartford,,race,Race and ethnicity,Total population,124795.0,table
West Hartford,,race,Race and ethnicity,Total population,63288.0,table
Connecticut,,race,Race and ethnicity,Total population,3593222.0,table
Asylum Hill,Hartford,race,Race and ethnicity,Hispanic population,2909.0,table
Barry Square,Hartford,race,Race and ethnicity,Hispanic population,8893.0,table
Behind the Rocks,Hartford,race,Race and ethnicity,Hispanic population,5773.0,table
Bishops Corner West,Hartford,race,Race and ethnicity,Hispanic population,556.0,table
Blue Hills,Hartford,race,Race and ethnicity,Hispanic population,497.0,table
Clay Arsenal,Hartford,race,Race and ethnicity,Hispanic population,3750.0,table
Downtown,Hartford,race,Race and ethnicity,Hispanic population,237.0,table
Frog Hollow,Hartford,race,Race and ethnicity,Hispanic population,6406.0,table
Northeast,Hartford,race,Race and ethnicity,Hispanic population,2785.0,table
Parkville,Hartford,race,Race and ethnicity,Hispanic population,2696.0,table
Sheldon Charter Oak,Hartford,race,Race and ethnicity,Hispanic population,1685.0,table
South End & South Meadows,Hartford,race,Race and ethnicity,Hispanic population,9234.0,table
South Green,Hartford,race,Race and ethnicity,Hispanic population,1383.0,table
Southwest,Hartford,race,Race and ethnicity,Hispanic population,4736.0,table
Upper Albany,Hartford,race,Race and ethnicity,Hispanic population,1287.0,table
West End,Hartford,race,Race and ethnicity,Hispanic population,2610.0,table
Buena Vista,West Hartford,race,Race and ethnicity,Hispanic population,12.0,table
Corbins Corner,West Hartford,race,Race and ethnicity,Hispanic population,473.0,table
Elizabeth Park,West Hartford,race,Race and ethnicity,Hispanic population,126.0,table
Farmington East,West Hartford,race,Race and ethnicity,Hispanic population,1197.0,table
Golf Acres,West Hartford,race,Race and ethnicity,Hispanic population,639.0,table
Kennedy Park,West Hartford,race,Race and ethnicity,Hispanic population,767.0,table
Mountain West,West Hartford,race,Race and ethnicity,Hispanic population,27.0,table
New Park,West Hartford,race,Race and ethnicity,Hispanic population,1582.0,table
Rockledge,West Hartford,race,Race and ethnicity,Hispanic population,573.0,table
West Hartford Center,West Hartford,race,Race and ethnicity,Hispanic population,203.0,table
Hartford,,race,Race and ethnicity,Hispanic population,55208.0,table
West Hartford,,race,Race and ethnicity,Hispanic population,6155.0,table
Connecticut,,race,Race and ethnicity,Hispanic population,526508.0,table
Asylum Hill,Hartford,race,Race and ethnicity,Percent Hispanic residents,0.295,map
Barry Square,Hartford,race,Race and ethnicity,Percent Hispanic residents,0.574,map
Behind the Rocks,Hartford,race,Race and ethnicity,Percent Hispanic residents,0.68,map
Bishops Corner West,Hartford,race,Race and ethnicity,Percent Hispanic residents,0.069,map
Blue Hills,Hartford,race,Race and ethnicity,Percent Hispanic residents,0.041,map
Clay Arsenal,Hartford,race,Race and ethnicity,Percent Hispanic residents,0.567,map
Downtown,Hartford,race,Race and ethnicity,Percent Hispanic residents,0.118,map
Frog Hollow,Hartford,race,Race and ethnicity,Percent Hispanic residents,0.68,map
Northeast,Hartford,race,Race and ethnicity,Percent Hispanic residents,0.254,map
Parkville,Hartford,race,Race and ethnicity,Percent Hispanic residents,0.605,map
Sheldon Charter Oak,Hartford,race,Race and ethnicity,Percent Hispanic residents,0.513,map
South End & South Meadows,Hartford,race,Race and ethnicity,Percent Hispanic residents,0.633,map
South Green,Hartford,race,Race and ethnicity,Percent Hispanic residents,0.649,map
Southwest,Hartford,race,Race and ethnicity,Percent Hispanic residents,0.638,map
Upper Albany,Hartford,race,Race and ethnicity,Percent Hispanic residents,0.186,map
West End,Hartford,race,Race and ethnicity,Percent Hispanic residents,0.26,map
Buena Vista,West Hartford,race,Race and ethnicity,Percent Hispanic residents,0.004,map
Corbins Corner,West Hartford,race,Race and ethnicity,Percent Hispanic residents,0.108,map
Elizabeth Park,West Hartford,race,Race and ethnicity,Percent Hispanic residents,0.029,map
Farmington East,West Hartford,race,Race and ethnicity,Percent Hispanic residents,0.113,map
Golf Acres,West Hartford,race,Race and ethnicity,Percent Hispanic residents,0.089,map
Kennedy Park,West Hartford,race,Race and ethnicity,Percent Hispanic residents,0.192,map
Mountain West,West Hartford,race,Race and ethnicity,Percent Hispanic residents,0.006,map
New Park,West Hartford,race,Race and ethnicity,Percent Hispanic residents,0.258,map
Rockledge,West Hartford,race,Race and ethnicity,Percent Hispanic residents,0.088,map
West Hartford Center,West Hartford,race,Race and ethnicity,Percent Hispanic residents,0.041,map
Hartford,,race,Race and ethnicity,Percent Hispanic residents,0.442,table
West Hartford,,race,Race and ethnicity,Percent Hispanic residents,0.097,table
Connecticut,,race,Race and ethnicity,Percent Hispanic residents,0.147,table
Asylum Hill,Hartford,race,Race and ethnicity,White non-Hispanic population,1233.0,table
Barry Square,Hartford,race,Race and ethnicity,White non-Hispanic population,2769.0,table
Behind the Rocks,Hartford,race,Race and ethnicity,White non-Hispanic population,684.0,table
Bishops Corner West,Hartford,race,Race and ethnicity,White non-Hispanic population,6343.0,table
Blue Hills,Hartford,race,Race and ethnicity,White non-Hispanic population,2191.0,table
Clay Arsenal,Hartford,race,Race and ethnicity,White non-Hispanic population,145.0,table
Downtown,Hartford,race,Race and ethnicity,White non-Hispanic population,1132.0,table
Frog Hollow,Hartford,race,Race and ethnicity,White non-Hispanic population,745.0,table
Northeast,Hartford,race,Race and ethnicity,White non-Hispanic population,267.0,table
Parkville,Hartford,race,Race and ethnicity,White non-Hispanic population,618.0,table
Sheldon Charter Oak,Hartford,race,Race and ethnicity,White non-Hispanic population,439.0,table
South End & South Meadows,Hartford,race,Race and ethnicity,White non-Hispanic population,2791.0,table
South Green,Hartford,race,Race and ethnicity,White non-Hispanic population,221.0,table
Southwest,Hartford,race,Race and ethnicity,White non-Hispanic population,1292.0,table
Upper Albany,Hartford,race,Race and ethnicity,White non-Hispanic population,115.0,table
West End,Hartford,race,Race and ethnicity,White non-Hispanic population,4215.0,table
Buena Vista,West Hartford,race,Race and ethnicity,White non-Hispanic population,2129.0,table
Corbins Corner,West Hartford,race,Race and ethnicity,White non-Hispanic population,3228.0,table
Elizabeth Park,West Hartford,race,Race and ethnicity,White non-Hispanic population,4040.0,table
Farmington East,West Hartford,race,Race and ethnicity,White non-Hispanic population,7438.0,table
Golf Acres,West Hartford,race,Race and ethnicity,White non-Hispanic population,5553.0,table
Kennedy Park,West Hartford,race,Race and ethnicity,White non-Hispanic population,2075.0,table
Mountain West,West Hartford,race,Race and ethnicity,White non-Hispanic population,3874.0,table
New Park,West Hartford,race,Race and ethnicity,White non-Hispanic population,2540.0,table
Rockledge,West Hartford,race,Race and ethnicity,White non-Hispanic population,5443.0,table
West Hartford Center,West Hartford,race,Race and ethnicity,White non-Hispanic population,4195.0,table
Hartford,,race,Race and ethnicity,White non-Hispanic population,19268.0,table
West Hartford,,race,Race and ethnicity,White non-Hispanic population,46858.0,table
Connecticut,,race,Race and ethnicity,White non-Hispanic population,2487119.0,table
Asylum Hill,Hartford,race,Race and ethnicity,Percent white residents,0.125,map
Barry Square,Hartford,race,Race and ethnicity,Percent white residents,0.179,map
Behind the Rocks,Hartford,race,Race and ethnicity,Percent white residents,0.081,map
Bishops Corner West,Hartford,race,Race and ethnicity,Percent white residents,0.792,map
Blue Hills,Hartford,race,Race and ethnicity,Percent white residents,0.182,map
Clay Arsenal,Hartford,race,Race and ethnicity,Percent white residents,0.022,map
Downtown,Hartford,race,Race and ethnicity,Percent white residents,0.566,map
Frog Hollow,Hartford,race,Race and ethnicity,Percent white residents,0.079,map
Northeast,Hartford,race,Race and ethnicity,Percent white residents,0.024,map
Parkville,Hartford,race,Race and ethnicity,Percent white residents,0.139,map
Sheldon Charter Oak,Hartford,race,Race and ethnicity,Percent white residents,0.134,map
South End & South Meadows,Hartford,race,Race and ethnicity,Percent white residents,0.191,map
South Green,Hartford,race,Race and ethnicity,Percent white residents,0.104,map
Southwest,Hartford,race,Race and ethnicity,Percent white residents,0.174,map
Upper Albany,Hartford,race,Race and ethnicity,Percent white residents,0.017,map
West End,Hartford,race,Race and ethnicity,Percent white residents,0.42,map
Buena Vista,West Hartford,race,Race and ethnicity,Percent white residents,0.789,map
Corbins Corner,West Hartford,race,Race and ethnicity,Percent white residents,0.736,map
Elizabeth Park,West Hartford,race,Race and ethnicity,Percent white residents,0.92,map
Farmington East,West Hartford,race,Race and ethnicity,Percent white residents,0.704,map
Golf Acres,West Hartford,race,Race and ethnicity,Percent white residents,0.772,map
Kennedy Park,West Hartford,race,Race and ethnicity,Percent white residents,0.52,map
Mountain West,West Hartford,race,Race and ethnicity,Percent white residents,0.87,map
New Park,West Hartford,race,Race and ethnicity,Percent white residents,0.414,map
Rockledge,West Hartford,race,Race and ethnicity,Percent white residents,0.832,map
West Hartford Center,West Hartford,race,Race and ethnicity,Percent white residents,0.852,map
Hartford,,race,Race and ethnicity,Percent white residents,0.154,table
West Hartford,,race,Race and ethnicity,Percent white residents,0.74,table
Connecticut,,race,Race and ethnicity,Percent white residents,0.692,table
Asylum Hill,Hartford,race,Race and ethnicity,Black population,4664.0,table
Barry Square,Hartford,race,Race and ethnicity,Black population,2878.0,table
Behind the Rocks,Hartford,race,Race and ethnicity,Black population,1528.0,table
Bishops Corner West,Hartford,race,Race and ethnicity,Black population,300.0,table
Blue Hills,Hartford,race,Race and ethnicity,Black population,8984.0,table
Clay Arsenal,Hartford,race,Race and ethnicity,Black population,2579.0,table
Downtown,Hartford,race,Race and ethnicity,Black population,264.0,table
Frog Hollow,Hartford,race,Race and ethnicity,Black population,1938.0,table
Northeast,Hartford,race,Race and ethnicity,Black population,7751.0,table
Parkville,Hartford,race,Race and ethnicity,Black population,929.0,table
Sheldon Charter Oak,Hartford,race,Race and ethnicity,Black population,715.0,table
South End & South Meadows,Hartford,race,Race and ethnicity,Black population,1976.0,table
South Green,Hartford,race,Race and ethnicity,Black population,481.0,table
Southwest,Hartford,race,Race and ethnicity,Black population,984.0,table
Upper Albany,Hartford,race,Race and ethnicity,Black population,5267.0,table
West End,Hartford,race,Race and ethnicity,Black population,2631.0,table
Buena Vista,West Hartford,race,Race and ethnicity,Black population,237.0,table
Corbins Corner,West Hartford,race,Race and ethnicity,Black population,65.0,table
Elizabeth Park,West Hartford,race,Race and ethnicity,Black population,40.0,table
Farmington East,West Hartford,race,Race and ethnicity,Black population,1148.0,table
Golf Acres,West Hartford,race,Race and ethnicity,Black population,380.0,table
Kennedy Park,West Hartford,race,Race and ethnicity,Black population,614.0,table
Mountain West,West Hartford,race,Race and ethnicity,Black population,233.0,table
New Park,West Hartford,race,Race and ethnicity,Black population,1006.0,table
Rockledge,West Hartford,race,Race and ethnicity,Black population,167.0,table
West Hartford Center,West Hartford,race,Race and ethnicity,Black population,92.0,table
Hartford,,race,Race and ethnicity,Black population,43878.0,table
West Hartford,,race,Race and ethnicity,Black population,4282.0,table
Connecticut,,race,Race and ethnicity,Black population,346206.0,table
Asylum Hill,Hartford,race,Race and ethnicity,Percent black residents,0.473,map
Barry Square,Hartford,race,Race and ethnicity,Percent black residents,0.186,map
Behind the Rocks,Hartford,race,Race and ethnicity,Percent black residents,0.18,map
Bishops Corner West,Hartford,race,Race and ethnicity,Percent black residents,0.037,map
Blue Hills,Hartford,race,Race and ethnicity,Percent black residents,0.745,map
Clay Arsenal,Hartford,race,Race and ethnicity,Percent black residents,0.39,map
Downtown,Hartford,race,Race and ethnicity,Percent black residents,0.132,map
Frog Hollow,Hartford,race,Race and ethnicity,Percent black residents,0.206,map
Northeast,Hartford,race,Race and ethnicity,Percent black residents,0.708,map
Parkville,Hartford,race,Race and ethnicity,Percent black residents,0.209,map
Sheldon Charter Oak,Hartford,race,Race and ethnicity,Percent black residents,0.218,map
South End & South Meadows,Hartford,race,Race and ethnicity,Percent black residents,0.135,map
South Green,Hartford,race,Race and ethnicity,Percent black residents,0.226,map
Southwest,Hartford,race,Race and ethnicity,Percent black residents,0.133,map
Upper Albany,Hartford,race,Race and ethnicity,Percent black residents,0.762,map
West End,Hartford,race,Race and ethnicity,Percent black residents,0.262,map
Buena Vista,West Hartford,race,Race and ethnicity,Percent black residents,0.088,map
Corbins Corner,West Hartford,race,Race and ethnicity,Percent black residents,0.015,map
Elizabeth Park,West Hartford,race,Race and ethnicity,Percent black residents,0.009,map
Farmington East,West Hartford,race,Race and ethnicity,Percent black residents,0.109,map
Golf Acres,West Hartford,race,Race and ethnicity,Percent black residents,0.053,map
Kennedy Park,West Hartford,race,Race and ethnicity,Percent black residents,0.154,map
Mountain West,West Hartford,race,Race and ethnicity,Percent black residents,0.052,map
New Park,West Hartford,race,Race and ethnicity,Percent black residents,0.164,map
Rockledge,West Hartford,race,Race and ethnicity,Percent black residents,0.026,map
West Hartford Center,West Hartford,race,Race and ethnicity,Percent black residents,0.019,map
Hartford,,race,Race and ethnicity,Percent black residents,0.352,table
West Hartford,,race,Race and ethnicity,Percent black residents,0.068,table
Connecticut,,race,Race and ethnicity,Percent black residents,0.096,table
Asylum Hill,Hartford,race,Race and ethnicity,Other race population,1053.0,table
Barry Square,Hartford,race,Race and ethnicity,Other race population,945.0,table
Behind the Rocks,Hartford,race,Race and ethnicity,Other race population,499.0,table
Bishops Corner West,Hartford,race,Race and ethnicity,Other race population,811.0,table
Blue Hills,Hartford,race,Race and ethnicity,Other race population,395.0,table
Clay Arsenal,Hartford,race,Race and ethnicity,Other race population,134.0,table
Downtown,Hartford,race,Race and ethnicity,Other race population,368.0,table
Frog Hollow,Hartford,race,Race and ethnicity,Other race population,332.0,table
Northeast,Hartford,race,Race and ethnicity,Other race population,143.0,table
Parkville,Hartford,race,Race and ethnicity,Other race population,212.0,table
Sheldon Charter Oak,Hartford,race,Race and ethnicity,Other race population,447.0,table
South End & South Meadows,Hartford,race,Race and ethnicity,Other race population,589.0,table
South Green,Hartford,race,Race and ethnicity,Other race population,47.0,table
Southwest,Hartford,race,Race and ethnicity,Other race population,411.0,table
Upper Albany,Hartford,race,Race and ethnicity,Other race population,240.0,table
West End,Hartford,race,Race and ethnicity,Other race population,590.0,table
Buena Vista,West Hartford,race,Race and ethnicity,Other race population,320.0,table
Corbins Corner,West Hartford,race,Race and ethnicity,Other race population,617.0,table
Elizabeth Park,West Hartford,race,Race and ethnicity,Other race population,187.0,table
Farmington East,West Hartford,race,Race and ethnicity,Other race population,782.0,table
Golf Acres,West Hartford,race,Race and ethnicity,Other race population,620.0,table
Kennedy Park,West Hartford,race,Race and ethnicity,Other race population,534.0,table
Mountain West,West Hartford,race,Race and ethnicity,Other race population,318.0,table
New Park,West Hartford,race,Race and ethnicity,Other race population,1014.0,table
Rockledge,West Hartford,race,Race and ethnicity,Other race population,358.0,table
West Hartford Center,West Hartford,race,Race and ethnicity,Other race population,432.0,table
Hartford,,race,Race and ethnicity,Other race population,6441.0,table
West Hartford,,race,Race and ethnicity,Other race population,5993.0,table
Connecticut,,race,Race and ethnicity,Other race population,233389.0,table
Asylum Hill,Hartford,race,Race and ethnicity,Percent other race residents,0.107,map
Barry Square,Hartford,race,Race and ethnicity,Percent other race residents,0.061,map
Behind the Rocks,Hartford,race,Race and ethnicity,Percent other race residents,0.059,map
Bishops Corner West,Hartford,race,Race and ethnicity,Percent other race residents,0.101,map
Blue Hills,Hartford,race,Race and ethnicity,Percent other race residents,0.033,map
Clay Arsenal,Hartford,race,Race and ethnicity,Percent other race residents,0.02,map
Downtown,Hartford,race,Race and ethnicity,Percent other race residents,0.184,map
Frog Hollow,Hartford,race,Race and ethnicity,Percent other race residents,0.035,map
Northeast,Hartford,race,Race and ethnicity,Percent other race residents,0.013,map
Parkville,Hartford,race,Race and ethnicity,Percent other race residents,0.048,map
Sheldon Charter Oak,Hartford,race,Race and ethnicity,Percent other race residents,0.136,map
South End & South Meadows,Hartford,race,Race and ethnicity,Percent other race residents,0.04,map
South Green,Hartford,race,Race and ethnicity,Percent other race residents,0.022,map
Southwest,Hartford,race,Race and ethnicity,Percent other race residents,0.055,map
Upper Albany,Hartford,race,Race and ethnicity,Percent other race residents,0.035,map
West End,Hartford,race,Race and ethnicity,Percent other race residents,0.059,map
Buena Vista,West Hartford,race,Race and ethnicity,Percent other race residents,0.119,map
Corbins Corner,West Hartford,race,Race and ethnicity,Percent other race residents,0.141,map
Elizabeth Park,West Hartford,race,Race and ethnicity,Percent other race residents,0.043,map
Farmington East,West Hartford,race,Race and ethnicity,Percent other race residents,0.074,map
Golf Acres,West Hartford,race,Race and ethnicity,Percent other race residents,0.086,map
Kennedy Park,West Hartford,race,Race and ethnicity,Percent other race residents,0.134,map
Mountain West,West Hartford,race,Race and ethnicity,Percent other race residents,0.071,map
New Park,West Hartford,race,Race and ethnicity,Percent other race residents,0.165,map
Rockledge,West Hartford,race,Race and ethnicity,Percent other race residents,0.055,map
West Hartford Center,West Hartford,race,Race and ethnicity,Percent other race residents,0.088,map
Hartford,,race,Race and ethnicity,Percent other race residents,0.052,table
West Hartford,,race,Race and ethnicity,Percent other race residents,0.095,table
Connecticut,,race,Race and ethnicity,Percent other race residents,0.065,table
